station_name,latitude,longitude,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Broadway & Berwyn Ave,41.978353,-87.659753,39.0,18.0,31.0,6.0,4.0,-103.0,-106.0,-87.0,-99.0,-141.0,-211.0,-94.0,0.0,44.0,97.0,89.0,249.0,255.0,276.0,190.0,168.0,84.0,89.0,95.0
Broadway & Cornelia Ave,41.945512,-87.64598,25.0,51.0,34.0,3.0,-10.0,-49.0,-208.0,-516.0,-369.0,-268.0,-172.0,-171.0,-159.0,-70.0,3.0,26.0,283.0,641.0,318.0,245.0,211.0,184.0,153.0,44.0
Broadway & Sheridan Rd,41.952833,-87.649993,20.0,29.0,10.0,5.0,-3.0,-15.0,-27.0,-37.0,-163.0,-115.0,-172.0,-152.0,-200.0,-167.0,-147.0,-75.0,-86.0,-7.0,76.0,-55.0,-40.0,-13.0,11.0,3.0
Broadway & Wilson Ave,41.965485,-87.657238,16.0,2.0,17.0,-11.0,3.0,16.0,-14.0,17.0,125.0,149.0,46.0,-10.0,-36.0,-24.0,-11.0,-69.0,-67.0,-88.0,-24.0,-6.0,9.0,18.0,10.0,7.0
California Ave & 21st St,41.854016,-87.695445,16.0,5.0,9.0,5.0,1.0,0.0,17.0,83.0,10.0,8.0,3.0,-8.0,11.0,-10.0,-7.0,17.0,-4.0,-33.0,-31.0,-4.0,-1.0,4.0,14.0,23.0
California Ave & Division St,41.903029,-87.697474,121.0,21.0,35.0,6.0,7.0,-2.0,-59.0,-164.0,-108.0,-95.0,-43.0,-17.0,-33.0,52.0,95.0,174.0,120.0,215.0,263.0,112.0,53.0,21.0,-24.0,39.0
California Ave & Francis Pl,41.918121,-87.696972,82.0,20.0,19.0,20.0,5.0,-13.0,-52.0,-509.0,-245.0,-103.0,-34.0,-112.0,-62.0,-3.0,12.0,-35.0,44.0,179.0,123.0,108.0,99.0,154.0,95.0,76.0
California Ave & Milwaukee Ave,41.922695,-87.697153,-21.0,-65.0,-15.0,12.0,-7.0,-6.0,-76.0,-106.0,172.0,-139.0,-126.0,-100.0,-84.0,-50.0,-69.0,-5.0,-56.0,147.0,185.0,171.0,47.0,72.0,14.0,-39.0
California Ave & North Ave,41.91044,-87.6972,13.0,15.0,17.0,3.0,-15.0,-139.0,-59.0,-262.0,-97.0,-118.0,-58.0,-80.0,6.0,26.0,37.0,40.0,10.0,22.0,259.0,114.0,84.0,39.0,37.0,46.0
Calumet Ave & 18th St,41.857611,-87.619407,21.0,24.0,14.0,7.0,3.0,-33.0,-189.0,-503.0,-819.0,-270.0,-161.0,-115.0,-72.0,-50.0,46.0,10.0,171.0,435.0,353.0,222.0,251.0,209.0,85.0,42.0
Calumet Ave & 33rd St,41.8349,-87.61793,11.0,9.0,4.0,6.0,6.0,2.0,4.0,-34.0,-58.0,-32.0,-59.0,-31.0,-65.0,-69.0,-31.0,-4.0,1.0,12.0,8.0,25.0,26.0,43.0,44.0,17.0
Calumet Ave & 35th St,41.831379,-87.618034,0.0,7.0,4.0,-1.0,0.0,3.0,-7.0,4.0,7.0,-2.0,-13.0,-6.0,15.0,8.0,10.0,-15.0,11.0,39.0,15.0,24.0,13.0,6.0,4.0,2.0
Campbell Ave & North Ave,41.910535,-87.689556,66.0,25.0,32.0,23.0,-18.0,-13.0,-94.0,-227.0,-428.0,-179.0,-110.0,-103.0,-72.0,-56.0,-28.0,111.0,74.0,201.0,263.0,110.0,63.0,67.0,78.0,80.0
Canal St & Adams St,41.879255,-87.639904,22.0,4.0,2.0,-2.0,6.0,-378.0,-2575.0,-5069.0,-4505.0,-698.0,-224.0,-447.0,98.0,-59.0,612.0,2189.0,5191.0,4125.0,366.0,-161.0,179.0,55.0,199.0,-23.0
Canal St & Harrison St,41.874337,-87.639566,-10.0,1.0,0.0,-2.0,-3.0,0.0,171.0,80.0,262.0,-37.0,-26.0,-37.0,-42.0,90.0,15.0,-107.0,-237.0,-182.0,-48.0,-15.0,-35.0,-10.0,-151.0,-33.0
Canal St & Jackson Blvd,41.878412,-87.641052,-4.0,-1.0,-3.0,-1.0,-5.0,-98.0,-35.0,-1724.0,-1092.0,-175.0,-6.0,-223.0,167.0,13.0,155.0,404.0,1536.0,1106.0,-55.0,-116.0,76.0,41.0,40.0,22.0
Canal St & Madison St,41.882091,-87.639833,65.0,-9.0,-3.0,-4.0,46.0,172.0,-1290.0,-2319.0,-1644.0,-549.0,-290.0,-287.0,9.0,204.0,557.0,2045.0,4117.0,3328.0,-106.0,89.0,134.0,151.0,41.0,-88.0
Canal St & Monroe St,41.8807,-87.63947,-6.0,-27.0,-5.0,4.0,84.0,123.0,135.0,-790.0,-961.0,267.0,70.0,-371.0,-234.0,-3.0,-159.0,-350.0,-1067.0,-1116.0,-410.0,-278.0,-126.0,-77.0,-16.0,-5.0
Cannon Dr & Fullerton Ave,41.9267559875,-87.6344287848,-8.0,3.0,5.0,15.0,17.0,62.0,56.0,-16.0,22.0,10.0,18.0,90.0,125.0,-75.0,-44.0,9.0,-123.0,-90.0,144.0,122.0,-78.0,-34.0,11.0,47.0
Carpenter St & Huron St,41.894556,-87.653449,38.0,16.0,4.0,6.0,-4.0,44.0,-40.0,-177.0,-268.0,-242.0,-128.0,-96.0,-17.0,-51.0,-15.0,-43.0,38.0,211.0,114.0,81.0,46.0,26.0,16.0,40.0
Cityfront Plaza & N Water St,41.890573,-87.622072,-9.0,-5.0,1.0,1.0,37.0,36.0,46.0,115.0,363.0,93.0,4.0,-74.0,-23.0,-40.0,-30.0,-105.0,-235.0,-106.0,-95.0,-92.0,-68.0,-172.0,-48.0,-30.0
Cityfront Plaza Dr & Pioneer Ct,41.890573,-87.622072,-15.0,-17.0,4.0,8.0,50.0,119.0,36.0,80.0,655.0,183.0,-17.0,-60.0,-100.0,-88.0,-91.0,-220.0,-530.0,-218.0,-204.0,-143.0,-102.0,-151.0,-36.0,-26.0
Claremont Ave & Hirsch St,41.907781,-87.685854,10.0,12.0,7.0,-2.0,-1.0,-45.0,-37.0,-157.0,-223.0,-89.0,-28.0,-32.0,-18.0,-9.0,-9.0,20.0,16.0,199.0,149.0,22.0,45.0,53.0,42.0,3.0
Clarendon Ave & Gordon Ter,41.957879,-87.649519,79.0,59.0,19.0,11.0,3.0,-11.0,-131.0,-227.0,-205.0,-105.0,-172.0,-195.0,-153.0,-16.0,7.0,35.0,88.0,149.0,109.0,141.0,166.0,131.0,166.0,111.0
Clarendon Ave & Junior Ter,41.961004,-87.649603,104.0,71.0,28.0,13.0,-16.0,-96.0,-105.0,-311.0,-326.0,-265.0,-188.0,-60.0,-78.0,-15.0,46.0,-155.0,-1.0,185.0,337.0,256.0,175.0,171.0,230.0,161.0
Clarendon Ave & Leland Ave,41.967968,-87.650001,34.0,13.0,6.0,12.0,-5.0,-34.0,-42.0,-79.0,-35.0,-46.0,-84.0,-50.0,-28.0,13.0,34.0,-2.0,-81.0,61.0,167.0,80.0,94.0,72.0,64.0,30.0
